,name,phone,principal,grades,division
1004,Kings Glen Elementary,703-239-4000,Mr. Samuel Elson,4-6,Fairfax County Public Schools
1005,King's Grant Elementary,757-648-2800,Dr. Sophia V. Stubblefield,PK-5,Virginia Beach Public Schools
1006,Kings Park Elementary,703-426-7000,Ms. Dorothy Lin,PK-3,Fairfax County Public Schools
1007,Kingston Elementary,757-648-2840,Babette Brinkley,PK-5,Virginia Beach Public Schools
1008,Kipps Elementary,540-951-5760,Mr. Chris Widrig,PK-5,Montgomery County Public Schools
1009,Kiptopeke Elementary,757-678-5151,Ms. Subrina Parker,PK-6,Northampton County Public Schools
1010,L. Douglas Wilder Middle,804-515-1100,Ms. Sharon E. Pope,6-8,Henrico County Public Schools
1011,L.F. Addington Middle,276-328-8821,Mr. Greg Jessee,5-8,Wise County Public Schools
1012,L.F. Palmer Elementary,757-881-5000,Mr. Gary Black,PK-5,Newport News Public Schools
1013,L.L. Beazley Elementary,804-733-2745,Mr. James Scruggs,PK-5,Prince George County Public Schools
1014,Laburnum Elementary,804-228-2720,Ms. Nicole M. Henderson,PK-5,Henrico County Public Schools
1015,Lacey Spring Elementary,540-433-7819,Ms. Donna H. Robinson,PK-5,Rockingham County Public Schools
1016,LaCrosse Elementary,434-757-7374,Michelle Powell,PK-5,Mecklenburg County Public Schools
1017,Lafayette High,757-565-0373,Ms. Anita Swinton,9-12,Williamsburg-James City County Public Schools
1018,Lafayette Upper Elementary,540-310-0029,Mr. Matthew Terry,3-5,Fredericksburg Public Schools
1019,Lafayette-Winona Middle,757-628-2477,Margarietta Stallings,6-8,Norfolk Public Schools
1020,Lake Anne Elementary,703-326-3500,Mr. Brendan P. Menuey,PK-6,Fairfax County Public Schools
1021,Lake Braddock Secondary,703-426-1000,Mr. David Thomas,7-12,Fairfax County Public Schools
1022,Lake Ridge Elementary,703-494-9153,Mrs. Stefanie Sanders,PK-5,Prince William County Public Schools
1023,Lake Ridge Middle,703-494-5154,Jo C. Fitzgerald,6-8,Prince William County Public Schools
1024,Lake Taylor High,757-892-3200,Dr. Reba Jacobs-Miller,9-12,Norfolk Public Schools
1025,Lake Taylor Middle,757-892-3230,Mr. Craig Reed,6-8,Norfolk Public Schools
1026,Lakeland High,757-925-5790,Mr. Douglas Wagoner,9-12,Suffolk Public Schools
1027,Lakeside Elementary,804-261-5050,Ms. Debbie N. Samuel,PK-5,Henrico County Public Schools
1028,Lakeview Elementary,804-524-3435,Mrs. Valerie Wiggins,PK-5,Colonial Heights Public Schools
1029,Lakeview Elementary,757-465-2901,Mrs. Sonya C. Harrell,KG-6,Portsmouth Public Schools
1030,Lancaster High,804-462-5177,Mrs. Holly Wargo,9-12,Lancaster County Public Schools
1031,Lancaster Middle,804-435-1681,Mr. Mike Daddario,4-8,Lancaster County Public Schools
1032,Lancaster Primary,804-435-3196,Mr. Ernest Palin,PK-3,Lancaster County Public Schools
1033,Landstown Elementary,757-648-2880,Mr. Patrick Ivy Wroton,PK-5,Virginia Beach Public Schools
1034,Landstown High,757-468-3800,Mr. Brian K. Matney,9-12,Virginia Beach Public Schools
1035,Landstown Middle,757-648-4750,Mr. John T. Parkman,6-8,Virginia Beach Public Schools
1036,Lane Elementary,703-924-7700,Ms. Eleanor M. Contreras,PK-6,Fairfax County Public Schools
1037,Langley High,703-287-2700,Mr. Matthew Ragone,9-12,Fairfax County Public Schools
1038,Langston High School Continuation Program,703-228-5295,Mr. Cleveland James,,Arlington County Public Schools
1039,Lanier Middle,703-934-2400,Dr. Scott Poole,7-8,Fairfax County Public Schools
1040,Larchmont Elementary,757-451-4180,Mr. Dennis Fifer,PK-5,Norfolk Public Schools
1041,Larkspur Middle,757-648-4800,Matthew Delaney,6-8,Virginia Beach Public Schools
1042,Larrymore Elementary,757-531-3070,Mr. David Faircloth,PK-5,Norfolk Public Schools
1043,Laurel Elementary School,276-728-9247,Mrs. Angela M. Beamer,PK-5,Carroll County Public Schools
1044,Laurel Hill Elementary,703-551-5300,Ms. Suzanne Montgomery,PK-6,Fairfax County Public Schools
1045,Laurel Meadow Elementary,804-365-4510,Ms. Karen Carpenter,PK-5,Hanover County Public Schools
1046,Laurel Park Middle,276-632-7216,Mr. Ben Gravely,6-8,Henry County Public Schools
1047,Laurel Ridge Elementary,703-426-3700,Ms. Lora R. Adams,PK-6,Fairfax County Public Schools
1048,Lawson-Marriott Elementary,804-769-3116,Ms. Cora Coefield,PK-7,King and Queen County Public Schools
1049,Lebanon Elementary,276-889-6531,Mr. Dennis Price,2-4,Russell County Public Schools
1050,Lebanon High,276-889-6539,Mr. Brian K. Hooker,8-12,Russell County Public Schools
1051,Lebanon Middle,276-889-6548,Dr. Allen Addison,5-7,Russell County Public Schools
1052,Lebanon Primary,276-889-4507,Mrs. Vickie Honaker,PK-1,Russell County Public Schools
1053,Lee County Career & Tech. Center,276-346-1960,Mr. Terry Welch,,Lee County Public Schools
1054,Lee Davis High,804-723-2200,Ms. Carol Moore,9-12,Hanover County Public Schools
1055,Lee Hall Early Childhood Center,757-886-2766,Ms. Amelia H. McIntyre,PK,Newport News Public Schools
1056,Lee Hall Elementary,757-888-3320,Ms. Glenda Walter,PK-5,Newport News Public Schools
1057,Lee High,703-924-8300,Mr. Abe Jeffers,9-12,Fairfax County Public Schools
1058,Lee High,276-346-0173,Ms. Michelle Warner,9-12,Lee County Public Schools
1059,Lee Hill Elementary,540-898-1433,Mrs. Darnella S. Cunningham,PK-5,Spotsylvania County Public Schools
1060,Lee M. Waid Elementary,540-483-5736,Mr. Gregg J. Cuddy,PK-5,Franklin County Public Schools
1061,Lee-Jackson Elementary,804-725-2580,Mr. Andrew W. Greve,KG-4,Mathews County Public Schools
1062,Lees Corner Elementary,703-227-3500,Mr. Robert J. Damato,PK-6,Fairfax County Public Schools
1063,Leesburg Elementary,571-252-2860,Ms. Angela D. Robinson,PK-5,Loudoun County Public Schools
1064,Leesville Road Elementary,434-239-0303,Mrs. Amy Hundley,PK-5,Campbell County Public Schools
1065,Leesylvania Elementary,703-670-8268,Mr. Ron Whitten,PK-5,Prince William County Public Schools
1066,Legacy Elementary,703-957-4425,Mr. Robert W. Duckworth,PK-5,Loudoun County Public Schools
1067,Lemon Road Elementary,703-714-6400,Mr. Andrew Camarda,PK-6,Fairfax County Public Schools
1068,Leslie Fox Keyser Elementary,540-635-3125,Mrs. Brenda S. Ring,KG-5,Warren County Public Schools
1069,Leslie H. Walton Middle,434-977-5615,Mrs. Alison Dwier-Selden,6-8,Albemarle County Public Schools
1070,Lewis & Clark Elementary,804-448-0175,Mr. Harold Pellegreen,PK-5,Caroline County Public Schools
1071,Liberty Elementary,703-957-4370,Paul Pack,PK-5,Loudoun County Public Schools
1072,Liberty High,540-586-2541,Mr. Tim Overstreet,9-12,Bedford County Public Schools
1073,Liberty High,540-422-7360,Mr. Roger Lee,9-12,Fauquier County Public Schools
1074,Liberty Middle,703-988-8100,Ms. Catherine Cipperly,7-8,Fairfax County Public Schools
1075,Liberty Middle,804-365-8060,Mr. Donald E. Latham,6-8,Hanover County Public Schools
1076,Lightfoot Elementary,540-661-4520,Jewel Williams,3-5,Orange County Public Schools
1077,Lincoln Elementary,540-751-2430,David Michener,PK-5,Loudoun County Public Schools
1078,Lincoln Terrace Elementary,540-853-2994,Mr. Jamon Flowers,KG-5,Roanoke Public Schools
1079,Lindenwood Elementary,757-628-2577,Ms. Phyllis Clark-Freeman,PK-5,Norfolk Public Schools
1080,Linkhorn Park Elementary,757-648-2920,Mrs. Barbara Sessoms,PK-5,Virginia Beach Public Schools
1081,Linkhorne Elementary,434-384-6611,Mrs. Kathleen M. Sawyer,PK-5,Lynchburg Public Schools
1082,Linkhorne Middle,434-384-5150,Mr. Derrick Scarborough,6-8,Lynchburg Public Schools
1083,Linville-Edom Elementary,540-833-6916,Mrs. Karen E. Thomsen,PK-5,Rockingham County Public Schools
1084,Linwood Holton Elementary,804-228-5310,Mr. David A. Hudson,PK-5,Richmond Public Schools
1085,Little Creek Elementary,757-531-3080,Mrs. Kimberly Gray,PK-5,Norfolk Public Schools
1086,Little River Elementary,703-957-4360,Julie Gross,PK-5,Loudoun County Public Schools
1087,Little Run Elementary,703-503-3500,Ms. Sharon B Baumgarten,PK-6,Fairfax County Public Schools
1088,Livingston Elementary,540-895-5101,Mrs. Terrie L. Cagle,PK-5,Spotsylvania County Public Schools
1089,Lloyd C. Bird High,804-768-6110,Dr. Laura Hebert,9-12,Chesterfield County Public Schools
1090,Loch Lomond Elementary,703-368-4128,Kimberly A Werle,PK-5,Prince William County Public Schools
1091,Locust Grove Elementary,540-661-4480,Mr. Jesse Magruder,3-5,Orange County Public Schools
1092,Locust Grove Middle,540-661-4480,Ms. Kim Crandall,6-8,Orange County Public Schools
1093,Locust Grove Primary School,540-661-4420,Sherri McGhee,KG-2,Orange County Public Schools
1094,Lois Hornsby Middle,757-565-9400,Dr. Byron Bishop,6-8,Williamsburg-James City County Public Schools
1095,London Towne Elementary,703-227-5400,Ms. Sigrid Ryberg,PK-6,Fairfax County Public Schools
1096,Long Branch Elementary,703-228-4220,Ms. Felicia A. Russo,PK-5,Arlington County Public Schools
1097,Longdale Elementary,804-261-5095,Ms. Andrea L. Prisco,PK-5,Henrico County Public Schools
1098,Longfellow Middle,703-533-2600,Ms. Carole Kihm,7-8,Fairfax County Public Schools
1099,Longs Fork Elementary,276-926-6339,Mr. Tony A. Robinson,5-8,Dickenson County Public Schools
1100,Lord Botetourt High,540-992-1261,Ms. Janet Womack,9-12,Botetourt County Public Schools
1101,Lorton Station Elementary,571-642-6000,Ms. Joanne Jackson,PK-6,Fairfax County Public Schools
1102,Loudoun Academy of Science,571-434-4470, ,,Loudoun County Public Schools
1103,Loudoun County High,571-252-2000,Mr. William Oblas,9-12,Loudoun County Public Schools
1104,Loudoun Valley High,540-751-2400,Ms. Susan Ross,9-12,Loudoun County Public Schools
1105,Louisa County High,540-894-5436,Thomas Smith,9-12,Louisa County Public Schools
1106,Louisa County Middle,540-894-5115,Mr. Lee Downey,6-8,Louisa County Public Schools
1107,Louise A. Benton Middle,703-791-0727,Mr. Kevin J Smith,6-8,Prince William County Public Schools
1108,Lovettsville Elementary,540-751-2470,Mrs. Kimberly A. Forcino,PK-5,Loudoun County Public Schools
1109,Lowes Island Elementary,571-434-4450,Mr. Bruce W. Shafferman,PK-5,Loudoun County Public Schools
1110,Lucille M. Brown Middle,804-319-3013,Ms. Denise Lewis,6-8,Richmond Public Schools
1111,Lucketts Elementary,571-252-2070,Brenda Blue,PK-5,Loudoun County Public Schools
1112,Lunenburg Middle,434-696-2161,Kathleen Rainey,6-8,Lunenburg County Public Schools
1113,Luray Elementary,540-743-4078,Dr. Joanne Marie Pereira,KG-5,Page County Public Schools
1114,Luray High,540-743-3800,Mr. Clint Runyan,9-12,Page County Public Schools
1115,Luray Middle,540-843-2660,Ms. Kelly Lawton,6-8,Page County Public Schools
1116,Luther P. Jackson Middle,757-267-2810,Dr. Charlome R. Pierce,5-8,Surry County Public Schools
1117,Luther W. Machen Elementary,757-727-2900,Ms. Chevese R. Thomas,PK-5,Hampton Public Schools
1118,Luxford Elementary,757-473-5014,Ms. Joanne T. D'Agostino,PK-5,Virginia Beach Public Schools
1119,Lylburn Downing Middle,540-463-3532,Mr. Richard N. Dowd,6-8,Lexington Public Schools
1120,Lyles-Crouch Elementary,703-706-4430,Dr. Patricia Zissios,KG-5,Alexandria Public Schools
1121,Lynbrook Elementary,703-866-2940,Ms. Mary McNamee,PK-6,Fairfax County Public Schools
1122,Lynnhaven Elementary,757-648-3000,Ms. Katherine R. Everett,PK-5,Virginia Beach Public Schools
1123,Lynnhaven Middle,757-648-4850,Dr. Violet B. Hoyle,6-8,Virginia Beach Public Schools
1124,Mack Benn Jr. Elementary,757-934-6224,Mr. David LeFevre,PK-5,Suffolk Public Schools
1125,Macy Mcclaugherty Elementary/Middle,540-921-1363,Mr. Jared A. Rader,PK-7,Giles County Public Schools
1126,Madison Alternative Center,757-628-3417, ,,Norfolk Public Schools
1127,Madison County High,540-948-3785,Dr. Robert Chappell,9-12,Madison County Public Schools
1128,Madison Elementary,804-448-2171,Scott Belako,PK-5,Caroline County Public Schools
1129,Madison Heights Elementary,434-846-2151,Mrs. Charlotte Gilbar,PK-5,Amherst County Public Schools
1130,Madison High,703-319-2300,Mr. Mark Merrell,9-12,Fairfax County Public Schools
1131,Madison Primary,540-948-3781,Mr. Michael Allers,PK-2,Madison County Public Schools
1132,Magna Vista High,276-956-3147,Mrs. Gracie R. Agnew,9-12,Henry County Public Schools
1133,Magruder Elementary,757-928-6838,Ms. Christine Pilger,PK-2,Newport News Public Schools
1134,Magruder Elementary,757-220-4067,Jane Core Yatzeck,KG-5,York County Public Schools
1135,Malibu Elementary,757-431-4098,Mr. Michael A. Maloney,PK-5,Virginia Beach Public Schools
1136,Manassas Park Elementary,703-368-2032,Mrs. Stacey Mamon,3-5,Manassas Park Public Schools
1137,Manassas Park High,703-361-9131,Eric Doyle,9-12,Manassas Park Public Schools
1138,Manassas Park Middle,703-361-1510,Pam Kalso,6-8,Manassas Park Public Schools
1139,Manchester High,804-739-6275,Mr. Peter M. Koste,9-12,Chesterfield County Public Schools
1140,Manchester Middle,804-674-1385,Sarah Fraher,6-8,Chesterfield County Public Schools
1141,Mantua Elementary,703-645-6300,Mrs. Jan-Marie Fernandez,PK-6,Fairfax County Public Schools
1142,Margaret Beeks Elementary,540-951-5700,Mr. Micah Mefford,PK-5,Montgomery County Public Schools
1143,Margaret Brent Elementary,540-658-6790,Ms. Dorothy D. Truslow,PK-5,Stafford County Public Schools
1144,Margaret M. Pierce Elementary,540-422-7630,Dr. Christine Wolfe,PK-5,Fauquier County Public Schools
1145,Marguerite F. Christian Elementary,804-530-5733,Jennifer Lenz,PK-5,Chesterfield County Public Schools
1146,Marion Elementary School,276-783-3021,Ms. Kimberly G. Williams,PK-5,Smyth County Public Schools
1147,Marion Middle,276-783-4466,Mr. Brandon D. Ratliff,6-8,Smyth County Public Schools
1148,Marion Senior High,276-783-4731,Mr. Mike Davidson,9-12,Smyth County Public Schools
1149,Marshall High,703-714-5400,Mr. Jay Pearson,9-12,Fairfax County Public Schools
1150,Marshall High School Academy,703-714-5400, ,,Fairfax County Public Schools
1151,Marshall Middle,540-364-1551,Ms. Christine A. Moschetti,6-8,Fauquier County Public Schools
1152,Marshall Road Elementary,703-937-1500,Ms. Jennifer Heiges,PK-6,Fairfax County Public Schools
1153,Martin Luther King Jr. Elementary,703-590-1616,Ms. Amy Larsen,PK-5,Prince William County Public Schools
1154,Martin Luther King Jr. Middle,804-780-8011,Dr. Valerie Harris,6-8,Richmond Public Schools
1155,Martinsville High School,276-403-5870,Mrs. Angela Weinerth,9-12,Martinsville Public Schools
1156,Martinsville Middle School,276-403-5886,Ms. Cynthia Tarpley,6-8,Martinsville Public Schools
1157,Marumsco Hills Elementary,703-494-3252,M. Joanne Alvey,PK-5,Prince William County Public Schools
1158,Mary Calcott Elementary,757-531-3039,Mrs. Danielle McIntyre,PK-5,Norfolk Public Schools
1159,Mary Carr Greer Elementary,434-973-8371,Robyn Bolling,PK-5,Albemarle County Public Schools
1160,Mary Ellen Henderson Middle,703-720-5700,Ms. Seidah Ashshaheed,6-8,Falls Church Public Schools
1161,Mary G. Porter Traditional,703-580-6501,Darci Whitehead,1-8,Prince William County Public Schools
1162,Mary Munford Elementary,804-780-6267,Mr. Gregory P. Muzik,PK-5,Richmond Public Schools
1163,Mary Passage Middle,757-886-7600,Ms. Janelle Spitz,6-8,Newport News Public Schools
1164,Mary Walter Elementary,540-439-3279,Mr. Alexander O'Dell,PK-5,Fauquier County Public Schools
1165,Mary Williams Elementary,703-445-8376,Ms. Marlene Coleman,PK-5,Prince William County Public Schools
1166,Mason Crest Elementary,571-226-2600,Mr. Brian K. Butler,PK-5,Fairfax County Public Schools
1167,Mason's Cove Elementary,540-387-6530,Ms. Phyllis Satterfield,PK-5,Roanoke County Public Schools
1168,Massaponax High,540-710-0419,Dr. Joseph A. Pisani,9-12,Spotsylvania County Public Schools
1169,Mathews High,804-725-3702,Mr. Albert C. Green Jr.,9-12,Mathews County Public Schools
1170,Matoaca Elementary,804-590-3100,Mary Thrift,PK-5,Chesterfield County Public Schools
1171,Matoaca High,804-590-3108,Mr. Stephen Cunningham,9-12,Chesterfield County Public Schools
1172,Matoaca Middle,804-590-3130,Wayne Carter,6-8,Chesterfield County Public Schools
1173,Matoaka Elementary,757-564-4001,Mr. Andrew H Jacobs,KG-5,Williamsburg-James City County Public Schools
1174,Matthew Fontaine Maury High,757-628-3344,Ms. Karen Berg,9-12,Norfolk Public Schools
1175,Matthew Whaley Elementary,757-229-1931,Robin Ford,KG-5,Williamsburg-James City County Public Schools
1176,Maude Trevvett Elementary,804-261-5060,Ms. Amanda R. Mulholland,PK-5,Henrico County Public Schools
1177,Maury Elementary,703-706-4440,Ms. Lucretia Jackson,KG-5,Alexandria Public Schools
1178,Maury River Middle School,540-463-3129, ,6-8,Rockbridge County Public Schools
1179,Max Meadows Elementary,276-637-3211,Mrs. Kimley Frye,PK-5,Wythe County Public Schools
1180,Maybeury Elementary,804-750-2650,Mr. Bradley V. Fernald,PK-5,Henrico County Public Schools
1181,Mayfield Intermediate,571-377-6600,Mr. Kenny Kratzer,5-6,Manassas Public Schools
1182,Maymont Pre-K Center,804-780-6263, ,PK,Richmond Public Schools
1183,McCleary Elementary,540-864-5173,Gennifer L. Miller,PK-5,Craig County Public Schools
1184,McGaheysville Elementary,540-289-3004,Mrs. Pam Dowrey,PK-5,Rockingham County Public Schools
1185,McHarg Elementary,540-731-3652,Mrs. Ellen Denny,PK-2,Radford Public Schools
1186,McKinley Elementary,703-228-5280,Mr. Colin Brown,PK-5,Arlington County Public Schools
1187,McLean High,703-714-5700,Ms. Ellen Reilly,9-12,Fairfax County Public Schools
1188,McNair Elementary,703-793-4800,Ms. Maria V. Eck,PK-6,Fairfax County Public Schools
1189,Meadowbrook High,804-743-3675,Andrew Mey,9-12,Chesterfield County Public Schools
1190,Meadowland Elementary,571-434-4440,Ms. Laura Seck,PK-5,Loudoun County Public Schools
1191,Meadows of Dan Elementary,276-952-2424,Mrs. Jeannie King,PK-7,Patrick County Public Schools
1192,Meadowview Elementary,276-739-3900,Dr. Beth Litz,PK-5,Washington County Public Schools
1193,Meadville Elementary,434-349-1012,Mrs. Marliss H. Barczak,KG-5,Halifax County Public Schools
1194,Mechanicsville Elementary,804-723-3640,Dr. Amy Woodward,PK-5,Hanover County Public Schools
1195,Meherrin Elementary,757-654-6461,Mrs. Syretha Wright,PK-5,Southampton County Public Schools
1196,Meherrin Powellton Elementary,434-577-5000,Mrs. Sandra L. King,PK-5,Brunswick County Public Schools
1197,Menchville High,757-886-7722,Mr. Robert Surry,9-12,Newport News Public Schools
1198,Mercer Middle,703-957-4340,Robert Phillips,6-8,Loudoun County Public Schools
1199,Meriwether Lewis Elementary,434-293-9304,Ms. Karen Marcus,PK-5,Albemarle County Public Schools
1200,Metompkin Elementary,757-665-1299, ,PK-5,Accomack County Public Schools
1201,Middleburg Elementary,540-751-2490,Shawn Lyons,PK-5,Loudoun County Public Schools
1202,Middlesex Elementary,804-758-2496,Mrs. Amy Stamm,PK-5,Middlesex County Public Schools
1203,Middlesex High,804-758-2132,Mrs. Jeannie Duke,9-12,Middlesex County Public Schools
1204,Middletown Elementary,540-869-4615,Dr. Amy Larrick,KG-5,Frederick County Public Schools
1205,Midlothian High,804-378-2440,Shawn Abel,9-12,Chesterfield County Public Schools
1206,Midlothian Middle,804-378-2460,Dr. Patrick Stanfield,6-8,Chesterfield County Public Schools
1207,Midway Elementary School,804-265-4205,Mrs. Kathleen C. Burgess,KG-5,Dinwiddie County Public Schools
1208,Miles Jones Elementary,804-319-3185,Mrs. Sonya Shaw,PK-5,Richmond Public Schools
1209,Mill Run Elementary,571-252-2160,Mr. Paul L. Vickers,PK-5,Loudoun County Public Schools
1210,Millboro Elementary,540-997-5452,Mrs. Allison Hicklin,KG-7,Bath County Public Schools
1211,Millbrook High,540-545-2800,Mrs. Carolyn S. Butler,9-12,Frederick County Public Schools
1212,Mills E. Godwin High,804-750-2600,Ms. Elizabeth K. Ambruster,9-12,Henrico County Public Schools
1213,Mills E. Godwin Middle,703-670-6166,Ms. Jehovanni Mitchell,6-8,Prince William County Public Schools
1214,Minnieville Elementary,703-670-6106,Mr. Nathaniel Provencio,PK-5,Prince William County Public Schools
1215,Monacan High,804-378-2480,William Broyles,9-12,Chesterfield County Public Schools
1216,Monelison Middle,434-846-1307,William Wells,6-8,Amherst County Public Schools
1217,Moneta Elementary,540-297-4411,Mrs. Melanie K. Simmons,PK-5,Bedford County Public Schools
1218,Monroe Technology Center,571-252-2080,Mr. Wagner B. Grier,,Loudoun County Public Schools
1219,Montclair Elementary,703-730-1072,Tawnya Soltis,PK-5,Prince William County Public Schools
1220,Monterey Elementary,540-853-2933,Ms. Morgan Johnson,PK-5,Roanoke Public Schools
1221,Montevideo Middle,540-289-3401,Mr. Drew S. Miller,6-8,Rockingham County Public Schools
1222,Monticello High,434-244-3100,Jesse Turner,9-12,Albemarle County Public Schools
1223,Montrose Elementary,804-226-8765,Mr. Ted Durniak,PK-5,Henrico County Public Schools
1224,Montross Middle,804-493-9818,Mrs. Jane S Geyer,6-8,Westmoreland County Public Schools
1225,Montvale Elementary,540-947-2241,Mrs. Krista Moore,PK-6,Bedford County Public Schools
1226,Moorefield Station Elementary School,571-252-2380,Karen Roche,PK-5,Loudoun County Public Schools
1227,Morningside Elementary,540-853-2991,Ms. Ann Kreft,PK-5,Roanoke Public Schools
1228,Mortimer Y. Sutherland Middle,434-975-0599,Mr. Dave Rogers,6-8,Albemarle County Public Schools
1229,Mosby Woods Elementary,703-937-1600,Ms. Mahri Aste,PK-6,Fairfax County Public Schools
1230,Moss-Nuckols Elementary,540-967-1347,Ms. Johnette Burdette,PK-5,Louisa County Public Schools
1231,Moton Early Childhood Center,757-727-1061,Ms. Joanne A. Drew,PK,Hampton Public Schools
1232,Mount Airy Elementary,434-335-5291,Ms. Joyce A. Wright,PK-5,Pittsylvania County Public Schools
1233,Mount Daniel School,703-248-5640,Mrs. Kathleen Halayko,PK-1,Falls Church Public Schools
1234,Mount Eagle Elementary,703-721-2100,Ms. Jean T Consolla,PK-6,Fairfax County Public Schools
1235,Mount Hermon Preschool Center,757-393-8825,Dr. Sandra H. Smith,PK,Portsmouth Public Schools
1236,Mount Olivet Elementary,276-638-1022,Mrs. Elizabeth Minter,PK-5,Henry County Public Schools
1237,Mount Pleasant Elementary,540-427-1879,Ms. Ellen Walton,PK-5,Roanoke County Public Schools
1238,Mount Vernon Elementary,703-706-4460,Peter Balas,PK-5,Alexandria Public Schools
1239,Mount Vernon Elementary,757-898-0480,Ms. Mary Lugo,PK-5,York County Public Schools
1240,Mount Vernon High,703-619-3100,Ms. Nardos E. King,9-12,Fairfax County Public Schools
1241,Mount Vernon Woods Elementary,703-619-2800,Ms. Pamela Simpkins,PK-6,Fairfax County Public Schools
1242,Mountain View Alternative High,703-227-2316,Mr. David E. Jagels,9-12,Fairfax County Public Schools
1243,Mountain View Elementary,540-863-1737,Mrs. Teresa B. Johnson,KG-5,Alleghany County Public Schools
1244,Mountain View Elementary,540-751-2550,Mr. Douglas R. Martin,PK-5,Loudoun County Public Schools
1245,Mountain View Elementary,703-754-4161,Ms. Michelle Schrecker,PK-5,Prince William County Public Schools
1246,Mountain View Elementary,540-561-8175,Ms. Leigh Porter,PK-5,Roanoke County Public Schools
1247,Mountain View Elementary,540-438-1965,Mrs. Deborah Rhodes,PK-5,Rockingham County Public Schools
1248,Mountain View Elementary School,540-261-2418,Ms. Lori S. Teague,PK-5,Rockbridge County Public Schools
1249,Mountain View High,540-658-6840,Dr. James D. Stemple Jr.,9-12,Stafford County Public Schools
1250,Murray High,434-296-3090,Ms. E. Ashby Kindler,9-12,Albemarle County Public Schools
1251,N.B. Clements Junior High,804-733-2730,Mr. Peter Fisher,8-9,Prince George County Public Schools
1252,Nandua High,757-787-4514,Mr. Brian Patterson,9-12,Accomack County Public Schools
1253,Nandua Middle,757-787-7037,Mr. John Killmon,6-8,Accomack County Public Schools
1254,Nansemond Parkway Elementary,757-923-4167,Mrs. Chanel S. Bryant,PK-5,Suffolk Public Schools
1255,Nansemond River High,757-923-4101,Mr. Thomas W. McLemore,9-12,Suffolk Public Schools
1256,Narrows Elementary/Middle,540-726-2391,Mr. Richard R. Franklin,KG-7,Giles County Public Schools
1257,Narrows High,540-726-2384,Dr. Jill L Hopkins,8-12,Giles County Public Schools
1258,Nathanael Greene Elementary,434-985-5275,Anne Marie Eberhardt,3-5,Greene County Public Schools
1259,Natural Bridge Elementary School,540-291-2292,Ms. Melanie E Falls,PK-5,Rockbridge County Public Schools
1260,Navy Elementary,703-262-7100,Mr. Jonathan M. Coch,PK-6,Fairfax County Public Schools
1261,Neabsco Elementary,703-670-2147,Laura Pumphrey,PK-5,Prince William County Public Schools
1262,Nelson County High,434-263-8317,Mr. Todd Weidow,9-12,Nelson County Public Schools
1263,Nelson Middle,434-263-4801,Mr. Matthew Schoener,6-8,Nelson County Public Schools
1264,New Bridge Learning Center,804-652-3717, ,,Henrico County Public Schools
1265,New Castle Elementary,757-648-3080,Dr. Lesley Hughes,PK-5,Virginia Beach Public Schools
1266,New Directions Alternative Education Center,703-393-7261,Mr. Robert L. Eichorn,,Prince William County Public Schools
1267,New Directions Alternative H.S. Program,703-228-2117,Mr. Chip Bonar,,Arlington County Public Schools
1268,New Directions Center,757-393-8728, ,,Portsmouth Public Schools
1269,New Kent Elementary,804-966-9663,Mr. John Moncrief,PK-5,New Kent County Public Schools
1270,New Kent High,804-966-9671,Mrs. Yvonne M. Jones,9-12,New Kent County Public Schools
1271,New Kent Middle,804-966-9655,Mr. Sammy L. Fudge,6-8,New Kent County Public Schools
1272,New London Academy Elementary,434-525-2177,Tammy M. Parlier,PK-5,Bedford County Public Schools
1273,New Start - Basic Alternative Center,804-553-8236, ,,Henrico County Public Schools
1274,Newington Forest Elementary,703-923-2600,Mr. John F Kren Jr.,PK-6,Fairfax County Public Schools
1275,Newsome Park Elementary,757-928-6810,Mr. Victor Martinez,PK-5,Newport News Public Schools
1276,Newton-Lee Elementary,571-252-1535,Ms. Carol A. Winters,PK-5,Loudoun County Public Schools
1277,Newtown Elementary,757-648-3120,Mrs. Lavern Chatman,2-3,Virginia Beach Public Schools
1278,Ni River Middle,540-785-3990,Veronne N. Davis,6-8,Spotsylvania County Public Schools
1279,Nickelsville Elementary,276-479-2676,Mr. Michael V. Lane,KG-7,Scott County Public Schools
1280,Noel C. Taylor Academy At Oakland,540-853-1461,Elizabeth Williams,,Roanoke Public Schools
1281,Nokesville Elementary,703-594-2155,Mr. Eric Worcester,PK-6,Prince William County Public Schools
1282,Norfolk Alternative High,757-628-3417, ,,Norfolk Public Schools
1283,Norfolk Alternative Middle,757-628-3417, ,,Norfolk Public Schools
1284,Norfolk Highlands Primary,757-578-7092,Mrs. Shawnia C. Smiley,PK-3,Chesapeake Public Schools
1285,Norfolk Technical Center,757-892-3300,Mr. Kevin Monroe,,Norfolk Public Schools
1286,Norge Elementary,757-564-3372,Dr. Nancy Catano,KG-5,Williamsburg-James City County Public Schools
1287,North Elementary,804-524-3430, ,KG-5,Colonial Heights Public Schools
1288,North Elementary,804-458-8922, ,PK-5,Prince George County Public Schools
1289,North Fork Middle,540-477-2953,Shelby Kline,6-8,Shenandoah County Public Schools
1290,North Landing Elementary,757-648-3160,Ms. Julie A. Risney,PK-5,Virginia Beach Public Schools
1291,North River Elementary,540-350-2463,Mrs. Lori A. Cox,PK-5,Augusta County Public Schools
